run,layer_number,layer_code,wire,value,local_median,robust_z,reason
22038,1,11,2,2.179960462,2.368479974,-8.68157723104476,outlier
22040,1,11,2,2.250617625,2.359531722,-5.015640739909193,outlier
22050,1,11,2,0.842752199,2.346815417,-69.2641353083956,outlier
22051,1,11,2,2.204881597,2.348964539,-6.63521338125011,outlier
22052,1,11,2,2.503577804,2.372333716,6.0439668764368175,outlier
22054,1,11,2,3.907570082,2.372333716,70.69970072560709,outlier
22055,1,11,2,0.898555176,2.372886127,-67.89492440032501,outlier
22056,1,11,2,2.20489579,2.372886127,-7.73618109479689,outlier
22091,1,11,2,2.12228625,2.275215257,-7.04258657924748,outlier
22093,1,11,2,2.122993069,2.275215257,-7.010036613083399,outlier
22097,1,11,2,2.129554656,2.262607644,-6.1272691557957835,outlier
22100,1,11,2,2.12681741,2.275215257,-6.833920563359317,outlier
22103,1,11,2,2.171149881,2.282376243,-5.1221236549304345,outlier
22107,1,11,2,2.062544223,2.282376243,-10.12356036380241,outlier
22116,1,11,2,2.163664493,2.284695163,-5.573625232650129,outlier
22117,1,11,2,2.117397138,2.284717999,-7.705350824037819,outlier
22127,1,11,2,2.160160535,2.314462509,-7.105813557291937,outlier
22136,1,11,2,1.494000548,2.236033112,-34.171598175557335,outlier
22138,1,11,2,2.044172356,2.236033112,-8.835446013782564,outlier
